bandwidth,selected_bandwidth,validation_loss,u0,hour,rep,m_target,ScalarRidge_lambda,LR,LR_mae,LR_r2,Pooled,Pooled_mae,Pooled_r2,DVCM,DVCM_mae,DVCM_r2,ScalarRidge,ScalarRidge_mae,ScalarRidge_r2,TL,TL_mae,TL_r2
0.15,0.15,0.2246129389209874,0.13043478260869565,3.0,2,352,1.0,0.28456642248605074,0.3682577610215024,0.6705034233120897,0.38715717303639363,0.4506552778781996,0.5517146329450944,0.45340803728512763,0.4967783116593199,0.4750034286439495,0.3082850797451018,0.404268283832736,0.6430398304460893,0.3163728205498798,0.4023198915797161,0.6336751173326013
0.03,0.03,0.21836690853199614,0.13043478260869565,3.0,3,352,0.1,0.23424043498582078,0.3811229822489723,0.6655888691684202,0.2964754456644949,0.4250112256638303,0.5767396476425521,0.25428443758341696,0.3939361115447561,0.6369732393542977,0.28085692052202943,0.40938983320249756,0.5990372866267417,0.2373700207554052,0.3812491719992961,0.6611209457874526
0.02,0.02,0.20615168705680018,0.13043478260869565,3.0,4,352,10.0,0.3095367778152437,0.3797732103309935,0.5202255795607089,0.27817117396245117,0.38156007422454385,0.5688414969208877,0.24645218809068525,0.3533458259448124,0.6180051477508768,0.24463992659049022,0.352438426655715,0.6208141086668539,0.2593252930360935,0.35855312080621443,0.5980521505399159
0.075,0.075,0.1633461990927416,0.17391304347826086,4.0,0,352,0.01,0.27318126296228956,0.371609871841453,0.5317864932866262,0.371336264450944,0.4352594372348703,0.363555711460263,0.44973247807943495,0.4920417568424956,0.2291901049101771,0.2906378114534421,0.3910989365549938,0.5018671946659048,0.2566424227195118,0.3595569903532855,0.5601329043950345
0.03,0.03,0.20911040311678974,0.17391304347826086,4.0,1,352,1.0,1.776672185149508,0.4555647814463007,-1.6427250677366034,0.43051502027269134,0.3994935780498762,0.3596270343951873,0.7072410421094352,0.3968910295923907,-0.05199127139905224,0.7324410341237176,0.39090673430858436,-0.08947519846199659,0.9316341022254643,0.4055971723126736,-0.38576650013932445
0.075,0.075,0.20201975453509421,0.17391304347826086,4.0,2,352,1.0,0.43684307868028516,0.3913790578545776,0.4235294198439765,0.45361083284148923,0.4406747116584808,0.4014022134374461,0.8044255510229218,0.6027201909315786,-0.061542889706405646,0.7985423663182172,0.42810784851670813,-0.053779271452153,0.4311509550538895,0.38813022869979635,0.4310409084525202
0.075,0.075,0.3122017008505581,0.17391304347826086,4.0,3,352,0.001,0.27522375423898665,0.38929058735060196,0.5654788854885573,0.2721482230327439,0.3927944917093136,0.5703345101461983,0.41962886310722647,0.48374122919323603,0.33749322698290285,0.35819772961617885,0.43503252858645836,0.4344802209436518,0.2557731720052814,0.37160833308761454,0.5961873128677841
0.075,0.075,0.21335821074109437,0.17391304347826086,4.0,4,352,1.0,0.26409063903127106,0.3417576319943629,0.5936373272913646,0.2615566057447397,0.3719141863937294,0.5975365057810862,0.4400768729384388,0.5072228460096767,0.3228430400240463,0.2591426892026876,0.3524502278786914,0.6012508577222306,0.247167051523892,0.3328355905669929,0.6196780619290764
0.02,0.02,0.2671029078923339,0.21739130434782608,5.0,0,352,10.0,0.3878106322435075,0.3685511943402434,0.36711119182583796,0.3450833100195093,0.43895903854292756,0.43684018270569613,0.23593868682482078,0.3264373064471629,0.6149591014488294,0.2361378231093395,0.3286774859068667,0.6146341203490484,0.31955971425608853,0.3555842063895736,0.478493496874988
0.05,0.05,0.1649680065959059,0.21739130434782608,5.0,1,352,0.1,0.28777515924356023,0.35676741812093904,0.5689928664757721,0.29618002198569215,0.39362702063787103,0.5564047202032687,0.38071185677562847,0.4161847672860238,0.4297995472615762,0.27654827006796623,0.36279949728367,0.5858076232973348,0.2850214920572057,0.345477258730229,0.5731170938892505
